,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_HI,VAL_HI,Score_HI,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AM,VAL_AM,Score_AM,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_M,TOT_HBREPORTED_SEX_F,TOT_HBREPORTED_DIS_M,TOT_HBREPORTED_DIS_F,TOT_HBREPORTED_RAC_M,TOT_HBREPORTED_RAC_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_SATACT,TOT_ENR,AVG_ENR,VAL_SAT
74873,RHODE ISLAND,RI,Cranston,Woodridge School,29,29,,,,2,2,,,,17,14,0,0,5,5,128,107,5,5,186,162,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74874,RHODE ISLAND,RI,Cranston,NEL/CPS Construction Career,32,17,49,0.148809524,5,2,0,2,0.130952381,5,0,0,0,0,2,5,65,41,2,2,103,65,No,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,168,24,0
74875,RHODE ISLAND,RI,Cranston,Orchard Farms El. School,8,5,,,,0,0,,,,8,11,0,0,2,2,125,131,11,2,154,151,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74876,RHODE ISLAND,RI,Cranston,George J. Peters School,41,47,,,,2,0,,,,8,5,0,0,5,8,125,92,5,11,186,163,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74877,RHODE ISLAND,RI,Cumberland,B.F. Norton Elementary School,50,56,,,,2,2,,,,5,8,0,0,17,17,152,113,8,8,234,204,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74878,RHODE ISLAND,RI,Cumberland,Ashton School,8,5,,,,0,0,,,,17,17,0,0,2,2,107,86,2,0,136,110,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74879,RHODE ISLAND,RI,Cumberland,Community School,11,8,,,,0,0,,,,8,5,0,0,2,5,296,230,2,5,319,253,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74880,RHODE ISLAND,RI,Cumberland,Cumberland High School,65,53,118,0.052087912,5,2,0,2,0.141318681,5,11,11,0,0,17,23,566,515,20,17,681,619,Yes,22,127,190,154,202,0,7,0,0,2,6,4,2,5,0,0,0,58,24,24,10,7,8,4,2,0,0,0,0,0,0,0,0,356,1300,185.7142857,0.273846154
74881,RHODE ISLAND,RI,Cumberland,John J. McLaughlin Cumberland,14,14,,,,0,2,,,,11,11,0,0,2,5,149,122,5,2,181,156,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74882,RHODE ISLAND,RI,Cumberland,Joseph L. McCourt MS,41,38,,,,2,2,,,,5,2,0,0,8,8,176,152,8,11,240,213,-9,-9,-9,-9,-9,-9,2,4,0,0,0,0,9,0,0,0,0,0,19,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74883,RHODE ISLAND,RI,Cumberland,Garvin Memorial,23,26,,,,0,0,,,,2,5,0,0,2,5,155,167,2,5,184,208,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74884,RHODE ISLAND,RI,Cumberland,North Cumberland Middle,8,14,,,,0,0,,,,8,11,0,0,8,5,326,293,8,2,358,325,-9,-9,-9,-9,-9,-9,2,2,0,0,0,0,4,0,0,0,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74885,RHODE ISLAND,RI,Cumberland,Cumberland Preschool Center,2,0,,,,0,0,,,,5,2,0,0,0,2,47,29,0,2,54,35,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-18,,,
74886,RHODE ISLAND,RI,East Greenwich,East Greenwich High,20,20,40,0.086756161,5,0,0,0,0.142857143,5,17,23,0,0,2,2,284,317,11,17,334,379,No,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,101.8571429,0
74887,RHODE ISLAND,RI,East Greenwich,Archie R. Cole MS,17,17,,,,2,0,,,,17,20,0,0,0,0,299,290,8,14,343,341,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74888,RHODE ISLAND,RI,East Greenwich,Frenchtown School,8,8,,,,2,0,,,,5,5,0,0,2,0,113,116,8,5,138,134,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74889,RHODE ISLAND,RI,East Greenwich,James H. Eldredge School,11,8,,,,0,0,,,,5,8,0,0,2,2,119,134,5,8,142,160,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
