,Unnamed: 0,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_ENR,AVG_ENR,TOT_SATACT,VAL_SAT,VAL_WH,VAL_BL,VAL_HP,VAL_TR,VAL_HI,VAL_AS,VAL_AM,VAL_RACE,RACE_SCORE,VAL_GENDER,GENDER_SCORE,VAL_AP_COURSES,AP_SCORE,VAL_SATACT_COURSES,SATACT_SCORE,COURSES_SCORE,TOT_ARR,TOT_EXP,TOT_HARR,TOT_SUSP,VAL_OFFENSES,OFFENSES_SCORE,SCHOOL_SCORE,Race,Value,Gender,GenderValue
10,5872,CALIFORNIA,CA,West Sonoma County Union High,El Molino High,Yes,12,47,76,32,41,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,590,84.28571428571429,73,0.12372881355932204,0.5554479418886199,0.13099273607748185,0.1394673123486683,0.13099273607748185,0.09782082324455205,0.12590799031476999,0.12590799031476999,0.1866482186094777,5,0.04745762711864407,5,0.20847457627118643,2,0.12372881355932204,1,2,0,0,0,0,0.0,1,3,SCH_ENR_AS,10,TOT_ENR_M,309
11,53929,NEW JERSEY,NJ,BURLINGTON COUNTY SPECIAL SERVICES SCHOOL DISTRICT,Burlington County Alternative High School,No,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12.428571428571429,0,0.0,0.38587848932676516,0.17898193760262726,0.14285714285714285,0.09688013136288999,0.06239737274220033,0.11986863711001643,0.14285714285714285,0.16138869340839784,5,0.26436781609195403,4,0.0,5,0.0,5,5,0,0,2,0,0.6,3,4,SCH_ENR_AS,2,TOT_ENR_M,55
12,94224,WISCONSIN,WI,Eau Claire Area School District,Flynn Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,310,44.285714285714285,0,0.0,0.595852534562212,0.0912442396313364,0.13640552995391705,0.07188940092165898,0.06221198156682027,0.0912442396313364,0.14285714285714285,0.17024358130348913,5,0.08387096774193549,5,0.0,5,0.0,5,5,0,0,0,4,0.4,4,4,SCH_ENR_AS,16,TOT_ENR_M,168
13,21429,FLORIDA,FL,ORANGE,FORSYTH WOODS ELEMENTARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,105.42857142857143,0,0.0,0.060201316298877275,0.05207123499806427,0.14014711575687186,0.13337204800619434,0.6430507162214479,0.11711188540456834,0.14014711575687186,0.18372877606327084,5,0.01084010840108401,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,19,TOT_ENR_M,373
14,70271,OKLAHOMA,OK,TULSA,KERR ES,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,574,82.0,0,0.0,0.010452961672473868,0.05226480836236934,0.13588850174216027,0.08885017421602788,0.47038327526132406,0.078397212543554,0.10452961672473868,0.13439522150323543,5,0.010452961672473868,5,0.0,5,0.0,5,5,0,0,0,18,1.8,1,4,SCH_ENR_AS,37,TOT_ENR_M,290
15,68119,OHIO,OH,Green Local,Green Primary Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,26.857142857142858,0,0.0,0.803951367781155,0.12158054711246201,0.14285714285714285,0.12158054711246201,0.13221884498480244,0.14285714285714285,0.14285714285714285,0.2297003907946157,4,0.02127659574468085,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,3,SCH_ENR_AS,0,TOT_ENR_M,92
16,79650,TEXAS,TX,ALDINE ISD,KUJAWA EL,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,960,137.14285714285714,0,0.0,0.1324404761904762,0.2050595238095238,0.14285714285714285,0.1386904761904762,0.46130952380952384,0.11369047619047619,0.1386904761904762,0.19039115646258503,5,0.04375,5,0.0,5,0.0,5,5,0,0,0,27,2.7,1,4,SCH_ENR_AS,28,TOT_ENR_M,501
17,62062,NORTH CAROLINA,NC,Pitt County Schools,Early College High School,No,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,11.142857142857142,0,0.0,0.1391941391941392,0.17765567765567766,0.14285714285714285,0.09157509157509157,0.17765567765567766,0.11721611721611722,0.14285714285714285,0.141287284144427,5,0.48717948717948717,3,0.0,5,0.0,5,5,0,0,0,2,0.2,5,4,SCH_ENR_AS,2,TOT_ENR_M,20
18,48268,MISSOURI,MO,ALTA VISTA CHARTER SCH.,ALTA VISTA MIDDLE SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,28.857142857142858,0,0.0,0.12305516265912306,0.09335219236209336,0.14285714285714285,0.0785007072135785,0.7234794908062234,0.14285714285714285,0.14285714285714285,0.20670842594463526,4,0.1485148514851485,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,3,SCH_ENR_AS,0,TOT_ENR_M,116
19,1560,ALASKA,AK,Anchorage School District,Steller Secondary School,No,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,41.0,55,0.1916376306620209,0.5505226480836237,0.1289198606271777,0.13588850174216027,0.003484320557491289,0.08710801393728224,0.08710801393728224,0.10801393728222997,0.15729218516674962,5,0.003484320557491289,5,0.0,5,0.1916376306620209,1,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,16,TOT_ENR_M,143
